,Wallet,NumberOfTokensAdopted,EarlyCount,LaggardCount,EarlyPercentage,LaggardPercentage,Whale,Non-WhaleEarlyAdopters,Non-WhaleLaggardAdopters,NumberOfWhalesInteractedWith
89,0x00000000000000000000000056da3aeb9056905f6d0c445f83e66766b7c5f20d,33,10,23,30.303030303030305,69.6969696969697,False,False,True,22.0
90,0x0000000000000000000000009639271e94887e35b021d7e915db09a4f304d747,10,4,6,40.0,60.0,False,False,True,8.0
91,0x000000000000000000000000ce2b69ad87b3fdcc3aa1b1f71a7fdd00193d3124,47,6,41,12.76595744680851,87.23404255319149,False,False,True,20.0
92,0x00000000000000000000000059636f927e9220b9cd596b5e7a18dcb059415373,29,6,23,20.6896551724138,79.3103448275862,False,False,True,20.0
93,0x000000000000000000000000d02eb946ea5331b4534de3424aa6e7b71c400659,5,1,4,20.0,80.0,False,False,True,3.0
94,0x000000000000000000000000bc16242c47905a9cdf8700a7d002cadcc69335aa,14,5,9,35.714285714285715,64.28571428571429,False,False,True,9.0
95,0x000000000000000000000000890ae1d593e013480079f07d9ccb6116da99caa7,30,3,27,10.0,90.0,False,False,True,27.0
96,0x000000000000000000000000d097608aaade1345a0112e5e1ff5f005dfbb654a,14,7,7,50.0,50.0,False,False,True,11.0
97,0x00000000000000000000000074a209c88e78c1967007e3c5e38d18dcfa6eb318,15,6,9,40.0,60.0,False,False,True,9.0
98,0x000000000000000000000000a45762daadb111458bc3eb59b7ab93d7bf76883a,18,8,10,44.44444444444444,55.55555555555556,False,False,True,12.0
99,0x0000000000000000000000003aafe62f92df2119fc56787050b669736807277e,15,7,8,46.66666666666666,53.333333333333336,False,False,True,12.0
100,0x0000000000000000000000008ac19d39188416229f5395b31d8ecb62bb8d04da,86,23,63,26.74418604651163,73.25581395348837,False,False,True,30.0
101,0x000000000000000000000000fa47b3c5c6c1bffe0e3db6fb16781ea2a6203f24,14,4,10,28.571428571428573,71.42857142857143,False,False,True,13.0
102,0x000000000000000000000000d4a90fb2f604f0681a9685cf16223b0a810a27be,28,10,18,35.714285714285715,64.28571428571429,False,False,True,23.0
103,0x000000000000000000000000ce3e286e18890c19306581af86306af2f471556f,43,8,35,18.6046511627907,81.3953488372093,False,False,True,29.0
104,0x0000000000000000000000002cfb48d474c3fe274abf74fcf2b92f1ed9d0adff,36,9,27,25.0,75.0,False,False,True,20.0
105,0x00000000000000000000000037c207b77cecf7da5ece0bf763b5542f2e9ab0d1,55,10,45,18.181818181818183,81.81818181818181,False,False,True,26.0
106,0x00000000000000000000000029010831b796abc99b8af7f1310ae28e8b948439,84,21,63,25.0,75.0,False,False,True,35.0
107,0x000000000000000000000000bd543f81749d579629b4d3c45a6da46d4ba255e6,11,1,10,9.090909090909092,90.9090909090909,False,False,True,6.0
108,0x000000000000000000000000ad5db838cfb0ec994248c7cc5282ec235a82167f,23,6,17,26.08695652173913,73.91304347826087,False,False,True,20.0
109,0x000000000000000000000000919d79541ff35580c1618962eb421af904e59e59,40,6,34,15.0,85.0,False,False,True,16.0
110,0x00000000000000000000000090f6194f8e5f5b8f32b0433f3853d7bef597c174,15,2,13,13.333333333333334,86.66666666666667,False,False,True,12.0
111,0x0000000000000000000000002b20fd6c9db8158718687a2a22d616af5de0d896,7,2,5,28.571428571428573,71.42857142857143,False,False,True,5.0
112,0x00000000000000000000000099c015746670358ca6ff025e5cd099797e450650,17,4,13,23.529411764705884,76.47058823529412,False,False,True,11.0
113,0x000000000000000000000000779c0a2c855c80c15501add647eeff78ac605b2d,8,1,7,12.5,87.5,False,False,True,5.0
114,0x000000000000000000000000505c1f2c45da269af785b650392ae647a7dc23a6,22,6,16,27.27272727272728,72.72727272727273,False,False,True,12.0
115,0x00000000000000000000000016de5f3c55000db42fc73b534d17e0653efffd97,13,1,12,7.6923076923076925,92.3076923076923,False,False,True,9.0
116,0x000000000000000000000000bc4b91c79c47d7f731020487dd01849406dbf368,29,9,20,31.03448275862069,68.96551724137932,False,False,True,24.0
117,0x00000000000000000000000062fab45edbead216448d8707fad4b55b23b9b828,7,2,5,28.571428571428573,71.42857142857143,False,False,True,5.0
118,0x000000000000000000000000d0ca2bc03270e00c1da5085778e249a8d21ef117,47,13,34,27.659574468085108,72.34042553191489,False,False,True,26.0
119,0x00000000000000000000000032d678e7c096ede8bc5aa9017ac9c66a012cbeb2,32,5,27,15.625,84.375,False,False,True,22.0
120,0x000000000000000000000000a31e90f246f096ff00fb526047c31aae242910a1,38,8,30,21.05263157894737,78.94736842105263,False,False,True,25.0
121,0x0000000000000000000000007061f19d6977f3c4cde2ab6707e963631ad4252c,42,7,35,16.666666666666668,83.33333333333333,False,False,True,31.0
122,0x0000000000000000000000008eb233e684e17069a11c19cec920875ab2c28059,11,4,7,36.36363636363637,63.63636363636363,False,False,True,9.0
123,0x000000000000000000000000dc9d2fff88215111b107a7959713e4259fa3962b,21,6,15,28.571428571428573,71.42857142857143,False,False,True,16.0
124,0x000000000000000000000000f48fee9c6e63276523995b386a1d96ff8ea0d5cc,12,3,9,25.0,75.0,False,False,True,7.0
125,0x00000000000000000000000033ddae970bebe2b532778233f41fddccc2cd36d4,5,1,4,20.0,80.0,False,False,True,2.0
126,0x0000000000000000000000008b404b65427511dcff7534d3bb286065fa39c326,10,4,6,40.0,60.0,False,False,True,9.0
127,0x0000000000000000000000002dc6da1ff67c4fa174b6666f0399e8352d43ef60,54,9,45,16.666666666666668,83.33333333333333,False,False,True,26.0
128,0x000000000000000000000000feaed37071194e0f442eef80789e0d7c3f098e9e,43,13,30,30.232558139534884,69.76744186046511,False,False,True,20.0
129,0x0000000000000000000000004bfd0113ae228b7c39a60c2356208990557964e9,112,21,91,18.75,81.25,False,False,True,50.0
130,0x0000000000000000000000008608714248f34b1c89387f329402ae9333df4188,98,27,71,27.551020408163264,72.44897959183673,False,False,True,47.0
131,0x0000000000000000000000009e327c6d054ccab946c95c3c6355dcb6b9791004,79,16,63,20.253164556962027,79.74683544303798,False,False,True,23.0
132,0x00000000000000000000000003e12bb49c4a3743b583c8b66b9f18125d20ea50,4,1,3,25.0,75.0,False,False,True,4.0
133,0x000000000000000000000000226833fcb6816b52c3c94fe079e040adbddbc4c9,39,9,30,23.07692307692308,76.92307692307692,False,False,True,21.0
134,0x000000000000000000000000cfe86596f659bf29ee4e786e695752672101bd34,90,20,70,22.22222222222222,77.77777777777777,False,False,True,44.0
135,0x000000000000000000000000d052e4c2364a78f3c959e611113e54b10906f040,63,17,46,26.984126984126984,73.01587301587301,False,False,True,33.0
136,0x000000000000000000000000120781637314cb4a522c072fe83f682b88809da6,58,16,42,27.58620689655172,72.41379310344827,False,False,True,27.0
137,0x000000000000000000000000bd57b9b374f83150916e0253032dd010a4176577,8,4,4,50.0,50.0,False,False,True,6.0
138,0x00000000000000000000000018eb59ec1a900dc904fd1a74f937f3f9165d63ac,79,22,57,27.848101265822784,72.15189873417721,False,False,True,42.0
139,0x000000000000000000000000dfb25142d7f908fc8dc3b9f8a94307bab3f9c963,16,4,12,25.0,75.0,False,False,True,12.0
140,0x0000000000000000000000004ca38466919a30dd79c5ba46c92902f033a18c84,11,5,6,45.45454545454545,54.54545454545455,False,False,True,9.0
141,0x0000000000000000000000000af91a6a67ff351edf217ce9b3cc94240693b497,16,6,10,37.5,62.5,False,False,True,9.0
142,0x00000000000000000000000080210b6d74fbbdf2f680cc46e4f451f434b04e98,22,5,17,22.727272727272727,77.27272727272727,False,False,True,9.0
143,0x00000000000000000000000052a5ac26c0fd8eb0a1d82b569ded9899b5d25dc8,31,4,27,12.903225806451612,87.09677419354838,False,False,True,13.0
144,0x0000000000000000000000007626489c9e0192570af709200649755a9576a03c,19,5,14,26.31578947368421,73.6842105263158,False,False,True,16.0
145,0x000000000000000000000000fc8d849a508833a76c6ecc9856bead666284bd47,18,4,14,22.22222222222222,77.77777777777777,False,False,True,11.0
146,0x000000000000000000000000df5c3a0d59e1664c5a335a14d7087929a476a06e,57,12,45,21.05263157894737,78.94736842105263,False,False,True,35.0
147,0x0000000000000000000000001e68b05db1424b25f58de79adb067236112e4aba,43,3,40,6.976744186046512,93.02325581395348,False,False,True,25.0
148,0x0000000000000000000000009be60c727fc8d5bf9a6259adcd289f5cce6d4634,29,3,26,10.344827586206897,89.65517241379311,False,False,True,5.0
