,Date,Average Price,Weighted Price,Average Return,Weighted Return,Average Return Growth,Weighted Return Growth
2313,2023-10-11,14479.852964610896,20662.91081333303,-107.12718285160736,-143.6254614286554,-0.7344027466181394,-0.690290106589596
2314,2023-10-12,14203.553321068252,20159.197662845796,-276.29964354264484,-503.7131504872341,-1.9081660857878027,-2.4377647226846966
2315,2023-10-13,14132.975005261742,20135.49025987513,-70.57831580650964,-23.707402970667317,-0.4969060502756041,-0.11760092523107209
2316,2023-10-14,14196.051546820032,20199.49175698403,63.076541558290046,64.00149710890037,0.4463076000262258,0.3178541782835998
2317,2023-10-15,14209.319888506823,20199.407118803312,13.268341686791246,-0.08463818071686546,0.09346501485311529,-0.00041901143719421345
2318,2023-10-16,14354.028905327688,20461.76427534495,144.70901682086514,262.3571565416387,1.018409170574819,1.2988359262159457
2319,2023-10-17,15057.271061060006,21590.779601825572,703.2421557323178,1129.0153264806213,4.899266682341012,5.5176831835611
2320,2023-10-18,14991.391169711942,21616.639116603303,-65.87989134806412,25.85951477773051,-0.4375287598988491,0.11977110254760788
2321,2023-10-19,14946.158192668267,21535.81593967212,-45.23297704367542,-80.82317693118239,-0.30172634768588036,-0.37389335361158776
2322,2023-10-20,15142.061412876574,21878.634173239745,195.90322020830718,342.8182335676247,1.3107262594370648,1.5918516137394332
2323,2023-10-21,15640.651412036494,22664.863832648873,498.5899991599199,786.2296594091276,3.292748494177462,3.593595711613401
2324,2023-10-22,15774.685010996594,22812.175359365203,134.0335989601008,147.31152671633026,0.8569566281424396,0.6499554897132324
2325,2023-10-23,15841.975569478722,22848.302378468677,67.29055848212738,36.127019103474595,0.42657307220536494,0.15836726894457778
2326,2023-10-24,17359.09653470569,25192.25627795784,1517.12096522697,2343.9538994891627,9.576589476314226,10.258766102894413
2327,2023-10-25,17815.74883416041,25981.908642032267,456.65229945471947,789.6523640744272,2.6306225012444844,3.134504330861939
2328,2023-10-26,18128.770590384753,26568.285905358065,313.0217562243415,586.3772633257977,1.756994663194538,2.2568675435075045
2329,2023-10-27,17989.306661025523,26235.30099519661,-139.46392935922995,-332.98491016145636,-0.7692961233300601,-1.2533172495494065
2330,2023-10-28,17839.831734151303,26044.1344552899,-149.47492687421982,-191.16653990670966,-0.8309098826919361,-0.7286615081782752
2331,2023-10-29,17934.492249336552,26241.339108332293,94.6605151852491,197.20465304239406,0.530613273689335,0.7571941136340558
2332,2023-10-30,18177.204114153563,26609.968906021073,242.7118648170108,368.62979768877995,1.3533244289421653,1.4047674783933972
2333,2023-10-31,18154.17161040456,26517.895866122206,-23.03250374900381,-92.07303989886714,-0.12671092652290622,-0.34600957341980826
2334,2023-11-01,18244.54621655922,26661.951173054185,90.37460615466262,144.05530693197943,0.49781729562844346,0.5432380746166837
2335,2023-11-02,18651.968571309502,27297.913391076094,407.42235475028065,635.9622180219085,2.233118598370474,2.3852801090740936
2336,2023-11-03,18362.481315161956,26931.17548637912,-289.48725614754585,-366.7379046969727,-1.552046664891103,-1.3434649727362027
2337,2023-11-04,18282.77721283674,26660.1208442662,-79.70410232521681,-271.054642112922,-0.434059542156783,-1.0064716345189324
2338,2023-11-05,18451.931110088644,26885.868304677828,169.1538972519047,225.7474604116287,0.9252089837485852,0.8467608295188215
2339,2023-11-06,18478.933407601602,26782.513353529615,27.00229751295774,-103.35495114821242,0.14633859920598857,-0.3844211017362971
2340,2023-11-07,18464.893553835744,26744.27707502433,-14.039853765858425,-38.236278505286464,-0.0759776197909935,-0.14276583381315622
2341,2023-11-08,18661.9264757115,27151.01179110792,197.0329218757579,406.7347160835925,1.0670677374949065,1.5208289793835172
2342,2023-11-09,18843.28620492368,27476.256859777466,181.35972921217763,325.2450686695447,0.971816759905347,1.1979114118173082
2343,2023-11-10,19448.51516153529,27665.08065230871,605.2289566116124,188.82379253124236,3.2119076791046584,0.6872253141863068
2344,2023-11-11,19711.5512335122,28349.90387588132,263.0360719769087,684.82322357261,1.3524737996303893,2.475406568227229
2345,2023-11-12,19587.858705185157,28172.526539406223,-123.69252832704296,-177.37733647509594,-0.627512907846388,-0.6256717386121359
2346,2023-11-13,19556.892031046817,28192.903552313666,-30.96667413834075,20.377012907443714,-0.15809116557566077,0.07232937691598743
2347,2023-11-14,19304.84745221703,27657.61836016004,-252.0445788297875,-535.2851921536276,-1.288776245375101,-1.8986522305528872
2348,2023-11-15,18762.858432039655,26973.100327561056,-541.9890201773742,-684.5180325989822,-2.8075281170643516,-2.474970996002352
2349,2023-11-16,19982.648991958,28920.075564091178,1219.7905599183468,1946.975236530121,6.501091314718975,7.2182107836551
2350,2023-11-17,19081.87997552565,27643.448889586954,-900.7690164323503,-1276.626674504223,-4.507755787507772,-4.414326897850004
2351,2023-11-18,19242.138828712017,27957.6516821614,160.25885318636574,314.2027925744442,0.839848345089232,1.1366265976051984
2352,2023-11-19,19272.499504016472,27989.828994135543,30.36067530445507,32.177311974144686,0.15778222771759973,0.11509304264877038
2353,2023-11-20,19712.560664484423,28621.575612555513,440.0611604679507,631.7466184199693,2.2833631951903284,2.2570577996469128
2354,2023-11-21,19755.84330916963,28655.78480379565,43.28264468520865,34.20919124013744,0.21956885978385243,0.11952239004316308
2355,2023-11-22,18952.90258552304,27472.513204202307,-802.9407236465922,-1183.2715995933431,-4.064320166347488,-4.129259092693252
2356,2023-11-23,19765.387186759737,28494.151767900363,812.4846012366979,1021.6385636980558,4.286861062945077,3.718766303265556
2357,2023-11-24,19677.79283964229,28351.98043163535,-87.59434711744689,-142.17133626501163,-0.443170408400215,-0.49894917884578865
2358,2023-11-25,19909.8917274948,28710.15660260464,232.0988878525095,358.17617096928734,1.1794965509796915,1.2633197593831282
2359,2023-11-26,19947.639743896616,28763.03306553652,37.74801640181613,52.876462931883,0.18959428267350928,0.1841733699463205
2360,2023-11-27,19777.956202086832,28528.83985003489,-169.6835418097835,-234.19321550163295,-0.8506447077865521,-0.8142159937306477
2361,2023-11-28,19640.084778646502,28416.846854702482,-137.87142344033055,-111.99299533240628,-0.6970964139650755,-0.3925606366088151
2362,2023-11-29,19925.38565021365,28864.069701731623,285.30087156714944,447.2228470291411,1.45264582501874,1.5737947609593206
2363,2023-11-30,19918.14187212009,28941.393715843216,-7.243778093561559,77.32401411159299,-0.03635451890731102,0.2678902002060858
2364,2023-12-01,19881.787546898686,28770.677166564623,-36.354325221404,-170.71654927859345,-0.18251865788891702,-0.5898698278139214
2365,2023-12-02,20386.985551555816,29576.949937480713,505.1980046571298,806.2727709160899,2.541008968461362,2.8024115186732095
2366,2023-12-03,20823.48214850713,30072.243523694862,436.49659695131413,495.2935862141494,2.141055115026573,1.6745931790164068
2367,2023-12-04,21075.489730390116,30435.826105680848,252.00758188298641,363.5825819859856,1.2102086485139243,1.2090304526149087
